Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,derives from,has abbreviation,has address,has affiliation,has altitude,has associated publication,has biological material,has BrAPI synonym,has collection date,has contact institution,has country,has country code,has country of origin,has cultural practices,has data file,has database identifier,has date-time,has description,has digital location,has DOI,has e-mail contact,has end date-time,has entry number,has entry type,has environment,has environment parameter,has event,has exact synonym,has experimental design,has experimental design map,has external identifier,has factor,has factor value,has genus,has germplasm accession number,has growth facility,has identifier,has infraspecific name,has institute code,has internal identifier,has ISA synonym,has latitude,has license,has location,has longitude,has material identifier,has material source,has method,has MIAPPE synonym,has MIAPPE version,has modality,has name,has observation,has observation level,has observation level hierarchy,has observation unit description,has observed subject,has ontology recommendation,has part,has participating institution,has person with role,has plant anatomical entity,has plant structure development stage,has preprocessing,has public release date,has related synonym,has role,has scale,has season,has spatial distribution,has spatial distribution type,has species,has species authority,has start date-time,has sublevel,has submission date,has subtaxon,has subtaxon authority,has superlevel,has taxon identifier,has time scale,has trait,has type,has uncertainty,has value,has variable,has version,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/creator,is active,is modality of,is role of,is role of person in,is subject of observation,part of
http://purl.org/ppeo/PPEO.owl#experimental_design,"[""experimental design""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:experimental_design,,,,,,,
http://purl.org/ppeo/PPEO.owl#institution,"[""institution""]",,An institution (academic or industrial) involved in the investigation or study.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:institution,,,,,,,
http://purl.org/ppeo/PPEO.owl#named_location,"[""named location""]",,,false,,,http://purl.org/ppeo/PPEO.owl#location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:named_location,,,,,,,
http://purl.org/ppeo/PPEO.owl#observation_level_hierarchy,"[""observation level hierarchy""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:observation_level_hierarchy,,,,,,,
http://purl.org/ppeo/PPEO.owl#biological_material,"[""biological material""]",germplasm,An organism that was the subject of the study and/or was observed in an observation unit.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,germplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:biological_material,,,,,,,
http://purl.org/ppeo/PPEO.owl#GPS_location,"[""GPS location""]",,,false,,,http://purl.org/ppeo/PPEO.owl#location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:GPS_location,,,,,,,
http://purl.org/ppeo/PPEO.owl#factor_value,"[""factor value""]",,A value or modality of a factor.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:factor_value,,,,,,,
http://purl.org/ppeo/PPEO.owl#environment_parameter,"[""environment parameter""]",,A parameter of the environment which is represented by a name and a value.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:environment_parameter,,,,,,,
http://purl.org/ppeo/PPEO.owl#country,"[""country""]",,A country in the world that either presently exists (i.e. is recognized in status by most entities) or existed at the time of the study.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:country,,,,,,,
http://purl.org/ppeo/PPEO.owl#method,"[""method""]",,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPEO:method,,,,,,,
